Erlang B (Blocked Calls Cleared),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
No. of,Traffic (A) in erlangs for P =,,,,,,,,,,,,,,,,
Trunks,,,,,,,,,,,,,,,,,
(N),0.10%,0.20%,0.50%,1%,1.20%,1.30%,1.50%,2%,3%,5%,7%,10%,15%,20%,30%,40%,50%
,0.001,0.002,0.005,0.01,0.012,0.013,0.015,0.02,0.03,0.05,0.07,0.1,0.15,0.2,0.3,0.4,0.5
1,0.001,0.002,0.005,0.01,0.012,0.013,0.02,0.02,0.031,0.053,0.075,0.111,0.176,0.25,0.429,0.667,1
2,0.046,0.065,0.105,0.153,0.168,0.176,0.19,0.223,0.282,0.381,0.47,0.595,0.796,1,1.45,2,2.73
3,0.194,0.249,0.349,0.455,0.489,0.505,0.53,0.602,0.715,0.899,1.06,1.27,1.6,1.93,2.63,3.48,4.59
4,0.439,0.535,0.701,0.869,0.922,0.946,0.99,1.09,1.26,1.52,1.75,2.05,2.5,2.95,3.89,5.02,6.5
5,0.762,0.9,1.13,1.36,1.43,1.46,1.52,1.66,1.88,2.22,2.5,2.88,3.45,4.01,5.19,6.6,8.44
,,,,,,,,,,,,,,,,,
6,1.15,1.33,1.62,1.91,2,2.04,2.11,2.28,2.54,2.96,3.3,3.76,4.44,5.11,6.51,8.19,10.4
7,1.58,1.8,2.16,2.5,2.6,2.65,2.73,2.94,3.25,3.74,4.14,4.67,5.46,6.23,7.86,9.8,12.4
8,2.05,2.31,2.73,3.13,3.25,3.3,3.4,3.63,3.99,4.54,5,5.6,6.5,7.37,9.21,11.4,14.3
9,2.56,2.85,3.33,3.78,3.92,3.98,4.08,4.34,4.75,5.37,5.88,6.55,7.55,8.52,10.6,13,16.3
10,3.09,3.43,3.96,4.46,4.61,4.68,4.8,5.08,5.53,6.22,6.78,7.51,8.62,9.68,12,14.7,18.3
,,,,,,,,,,,,,,,,,
11,3.65,4.02,4.61,5.16,5.32,5.4,5.53,5.84,6.33,7.08,7.69,8.49,9.69,10.9,13.3,16.3,20.3
12,4.23,4.64,5.28,5.88,6.05,6.14,6.27,6.61,7.14,7.95,8.61,9.47,10.8,12,14.7,18,22.2
13,4.83,5.27,5.96,6.61,6.8,6.89,7.03,7.4,7.97,8.83,9.54,10.5,11.9,13.2,16.1,19.6,24.2
14,5.45,5.92,6.66,7.35,7.56,7.65,7.81,8.2,8.8,9.73,10.5,11.5,13,14.4,17.5,21.2,26.2
15,6.08,6.58,7.38,8.11,8.33,8.43,8.59,9.01,9.65,10.6,11.4,12.5,14.1,15.6,18.9,22.9,28.2
,,,,,,,,,,,,,,,,,
16,6.72,7.26,8.1,8.88,9.11,9.21,9.39,9.83,10.5,11.5,12.4,13.5,15.2,16.8,20.3,24.5,30.2
17,7.38,7.95,8.83,9.65,9.89,10,10.19,10.7,11.4,12.5,13.4,14.5,16.3,18,21.7,26.2,32.2
18,8.05,8.64,9.58,10.4,10.7,10.8,11,11.5,12.2,13.4,14.3,15.5,17.4,19.2,23.1,27.8,34.2
19,8.72,9.35,10.3,11.2,11.5,11.6,11.82,12.3,13.1,14.3,15.3,16.6,18.5,20.4,24.5,29.5,36.2
20,9.41,10.1,11.1,12,12.3,12.4,12.65,13.2,14,15.2,16.3,17.6,19.6,21.6,25.9,31.2,38.2
,,,,,,,,,,,,,,,,,
21,10.1,10.8,11.9,12.8,13.1,13.3,13.48,14,14.9,16.2,17.3,18.7,20.8,22.8,27.3,32.8,40.2
22,10.8,11.5,12.6,13.7,14,14.1,14.32,14.9,15.8,17.1,18.2,19.7,21.9,24.1,28.7,34.5,42.1
23,11.5,12.3,13.4,14.5,14.8,14.9,15.16,15.8,16.7,18.1,19.2,20.7,23,25.3,30.1,36.1,44.1
24,12.2,13,14.2,15.3,15.6,15.8,16.01,16.6,17.6,19,20.2,21.8,24.2,26.5,31.6,37.8,46.1
25,13,13.8,15,16.1,16.5,16.6,16.87,17.5,18.5,20,21.2,22.8,25.3,27.7,33,39.4,48.1
,,,,,,,,,,,,,,,,,
26,13.7,14.5,15.8,17,17.3,17.5,17.72,18.4,19.4,20.9,22.2,23.9,26.4,28.9,34.4,41.1,50.1
27,14.4,15.3,16.6,17.8,18.2,18.3,18.59,19.3,20.3,21.9,23.2,24.9,27.6,30.2,35.8,42.8,52.1
28,15.2,16.1,17.4,18.6,19,19.2,19.45,20.2,21.2,22.9,24.2,26,28.7,31.4,37.2,44.4,54.1
29,15.9,16.8,18.2,19.5,19.9,20,20.32,21,22.1,23.8,25.2,27.1,29.9,32.6,38.6,46.1,56.1
30,16.7,17.6,19,20.3,20.7,20.9,21.19,21.9,23.1,24.8,26.2,28.1,31,33.8,40,47.7,58.1
,,,,,,,,,,,,,,,,,
31,17.4,18.4,19.9,21.2,21.6,21.8,22.07,22.8,24,25.8,27.2,29.2,32.1,35.1,41.5,49.4,60.1
32,18.2,19.2,20.7,22,22.5,22.6,22.95,23.7,24.9,26.7,28.2,30.2,33.3,36.3,42.9,51.1,62.1
33,19,20,21.5,22.9,23.3,23.5,23.83,24.6,25.8,27.7,29.3,31.3,34.4,37.5,44.3,52.7,64.1
34,19.7,20.8,22.3,23.8,24.2,24.4,24.72,25.5,26.8,28.7,30.3,32.4,35.6,38.8,45.7,54.4,66.1
35,20.5,21.6,23.2,24.6,25.1,25.3,25.6,26.4,27.7,29.7,31.3,33.4,36.7,40,47.1,56,68.1
,,,,,,,,,,,,,,,,,
36,21.3,22.4,24,25.5,26,26.2,26.49,27.3,28.6,30.7,32.3,34.5,37.9,41.2,48.6,57.7,70.1
37,22.1,23.2,24.8,26.4,26.8,27,27.39,28.3,29.6,31.6,33.3,35.6,39,42.4,50,59.4,72.1
38,22.9,24,25.7,27.3,27.7,27.9,28.28,29.2,30.5,32.6,34.4,36.6,40.2,43.7,51.4,61,74.1
39,23.7,24.8,26.5,28.1,28.6,28.8,29.18,30.1,31.5,33.6,35.4,37.7,41.3,44.9,52.8,62.7,76.1
40,24.4,25.6,27.4,29,29.5,29.7,30.08,31,32.4,34.6,36.4,38.8,42.5,46.1,54.2,64.4,78.1
41,25.2,26.4,28.2,29.9,30.4,30.6,30.98,31.9,33.4,35.6,37.4,39.9,43.6,47.4,55.7,66,80.1
42,26,27.2,29.1,30.8,31.3,31.5,31.88,32.8,34.3,36.6,38.4,40.9,44.8,48.6,57.1,67.7,82.1
43,26.8,28.1,29.9,31.7,32.2,32.4,32.79,33.8,35.3,37.6,39.5,42,45.9,49.9,58.5,69.3,84.1
44,27.6,28.9,30.8,32.5,33.1,33.3,33.69,34.7,36.2,38.6,40.5,43.1,47.1,51.1,59.9,71,86.1
45,28.4,29.7,31.7,33.4,34,34.2,34.6,35.6,37.2,39.6,41.5,44.2,48.2,52.3,61.3,72.7,88.1
,,,,,,,,,,,,,,,,,
46,29.3,30.5,32.5,34.3,34.9,35.1,35.51,36.5,38.1,40.5,42.6,45.2,49.4,53.6,62.8,74.3,90.1
47,30.1,31.4,33.4,35.2,35.8,36,36.42,37.5,39.1,41.5,43.6,46.3,50.6,54.8,64.2,76,92.1
48,30.9,32.2,34.2,36.1,36.7,36.9,37.34,38.4,40,42.5,44.6,47.4,51.7,56,65.6,77.7,94.1
49,31.7,33,35.1,37,37.6,37.8,38.25,39.3,41,43.5,45.7,48.5,52.9,57.3,67,79.3,96.1
50,32.5,33.9,36,37.9,38.5,38.7,39.17,40.3,41.9,44.5,46.7,49.6,54,58.5,68.5,81,98.1
,,,,,,,,,,,,,,,,,
51,33.3,34.7,36.9,38.8,39.4,39.6,40.08,41.2,42.9,45.5,47.7,50.6,55.2,59.7,69.9,82.7,100.1
52,34.2,35.6,37.7,39.7,40.3,40.6,41,42.1,43.9,46.5,48.8,51.7,56.3,61,71.3,84.3,102.1
53,35,36.4,38.6,40.6,41.2,41.5,41.92,43.1,44.8,47.5,49.8,52.8,57.5,62.2,72.7,86,104.1
54,35.8,37.2,39.5,41.5,42.1,42.4,42.84,44,45.8,48.5,50.8,53.9,58.7,63.5,74.2,87.6,106.1
55,36.6,38.1,40.4,42.4,43,43.3,43.77,44.9,46.7,49.5,51.9,55,59.8,64.7,75.6,89.3,108.1
,,,,,,,,,,,,,,,,,
56,37.5,38.9,41.2,43.3,43.9,44.2,44.69,45.9,47.7,50.5,52.9,56.1,61,65.9,77,91,110.1
57,38.3,39.8,42.1,44.2,44.8,45.1,45.62,46.8,48.7,51.5,53.9,57.1,62.1,67.2,78.4,92.6,112.1
58,39.1,40.6,43,45.1,45.8,46.1,46.54,47.8,49.6,52.6,55,58.2,63.3,68.4,79.8,94.3,114.1
59,40,41.5,43.9,46,46.7,47,47.47,48.7,50.6,53.6,56,59.3,64.5,69.7,81.3,96,116.1
60,40.8,42.4,44.8,46.9,47.6,47.9,48.4,49.6,51.6,54.6,57.1,60.4,65.6,70.9,82.7,97.6,118.1
,,,,,,,,,,,,,,,,,
61,41.6,43.2,45.6,47.9,48.5,48.8,49.33,50.6,52.5,55.6,58.1,61.5,66.8,72.1,84.1,99.3,120.1
62,42.5,44.1,46.5,48.8,49.4,49.7,50.26,51.5,53.5,56.6,59.1,62.6,68,73.4,85.5,101,122.1
63,43.3,44.9,47.4,49.7,50.4,50.7,51.19,52.5,54.5,\\,60.2,63.7,69.1,74.6,87,102.6,124.1
64,44.2,45.8,48.3,50.6,51.3,51.6,52.12,53.4,55.4,58.6,61.2,64.8,70.3,75.9,88.4,104.3,126.1
65,45,46.6,49.2,51.5,52.2,52.5,53.05,54.4,56.4,59.6,62.3,65.8,71.4,77.1,89.8,106,128.1
,,,,,,,,,,,,,,,,,
66,45.8,47.5,50.1,52.4,53.1,53.5,53.99,55.3,57.4,60.6,63.3,66.9,72.6,78.3,91.2,107.6,130.1
67,46.7,48.4,51,53.4,54.1,54.4,54.92,56.3,58.4,61.6,64.4,68,73.8,79.6,92.7,109.3,132.1
68,47.5,49.2,51.9,54.3,55,55.3,55.86,57.2,59.3,62.6,65.4,69.1,74.9,80.8,94.1,111,134.1
69,48.4,50.1,52.8,55.2,55.9,56.2,56.79,58.2,60.3,63.7,66.4,70.2,76.1,82.1,95.5,112.6,136.1
